ID,Scenario,Archetype,GOtag:Opt-Location,GOtag:Opt-ACH,GOtag:Opt-GenericWall_1Layer_definitions,GOtag:Opt-H2KFoundation,GOtag:Opt-ExposedFloor,GOtag:Opt-Ceilings,GOtag:Opt-CasementWindows,GOtag:Opt-DHWSystem,GOtag:Opt-DWHRSystem,GOtag:Opt-HVACSystem,GOtag:Opt-HRVSpec
1,NBC-arch1_fullBsmt-1,NBC-arch1_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
2,NBC-arch1_fullBsmt-2,NBC-arch1_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
3,NBC-arch1_fullBsmt-3,NBC-arch1_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
4,NBC-arch1_fullBsmt-4,NBC-arch1_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
5,NBC-arch2_slab-5,NBC-arch2_slab,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
6,NBC-arch2_slab-6,NBC-arch2_slab,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
7,NBC-arch2_slab-7,NBC-arch2_slab,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
8,NBC-arch2_slab-8,NBC-arch2_slab,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
9,NBC-arch3_fullBsmt-9,NBC-arch3_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
10,NBC-arch3_fullBsmt-10,NBC-arch3_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
11,NBC-arch3_fullBsmt-11,NBC-arch3_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
12,NBC-arch3_fullBsmt-12,NBC-arch3_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
13,NBC-arch4_fullBsmt-13,NBC-arch4_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
14,NBC-arch4_fullBsmt-14,NBC-arch4_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
15,NBC-arch4_fullBsmt-15,NBC-arch4_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
16,NBC-arch4_fullBsmt-16,NBC-arch4_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
17,NBC-arch5_fullBsmt-17,NBC-arch5_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
18,NBC-arch5_fullBsmt-18,NBC-arch5_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
19,NBC-arch5_fullBsmt-19,NBC-arch5_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
20,NBC-arch5_fullBsmt-20,NBC-arch5_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
21,NBC-arch6_fullBsmt-21,NBC-arch6_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
22,NBC-arch6_fullBsmt-22,NBC-arch6_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
23,NBC-arch6_fullBsmt-23,NBC-arch6_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
24,NBC-arch6_fullBsmt-24,NBC-arch6_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
25,NBC-arch7_slabOnGrade-25,NBC-arch7_slabOnGrade,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
26,NBC-arch7_slabOnGrade-26,NBC-arch7_slabOnGrade,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
27,NBC-arch7_slabOnGrade-27,NBC-arch7_slabOnGrade,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
28,NBC-arch7_slabOnGrade-28,NBC-arch7_slabOnGrade,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
29,NBC-arch8_Bsmt-29,NBC-arch8_Bsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
30,NBC-arch8_Bsmt-30,NBC-arch8_Bsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
31,NBC-arch8_Bsmt-31,NBC-arch8_Bsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
32,NBC-arch8_Bsmt-32,NBC-arch8_Bsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
33,NBC-arch9_Bsmt-33,NBC-arch9_Bsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
34,NBC-arch9_Bsmt-34,NBC-arch9_Bsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
35,NBC-arch9_Bsmt-35,NBC-arch9_Bsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
36,NBC-arch9_Bsmt-36,NBC-arch9_Bsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
37,NBC-arch10_fullBsmt-37,NBC-arch10_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
38,NBC-arch10_fullBsmt-38,NBC-arch10_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
39,NBC-arch10_fullBsmt-39,NBC-arch10_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
40,NBC-arch10_fullBsmt-40,NBC-arch10_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
41,NBC-arch11_fullBsmt-41,NBC-arch11_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
42,NBC-arch11_fullBsmt-42,NBC-arch11_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
43,NBC-arch11_fullBsmt-43,NBC-arch11_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
44,NBC-arch11_fullBsmt-44,NBC-arch11_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
45,NBC-arch1_fullBsmt-45,NBC-arch1_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
46,NBC-arch1_fullBsmt-46,NBC-arch1_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
47,NBC-arch1_fullBsmt-47,NBC-arch1_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
48,NBC-arch1_fullBsmt-48,NBC-arch1_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
49,NBC-arch2_slab-49,NBC-arch2_slab,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
50,NBC-arch2_slab-50,NBC-arch2_slab,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
51,NBC-arch2_slab-51,NBC-arch2_slab,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
52,NBC-arch2_slab-52,NBC-arch2_slab,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
53,NBC-arch3_fullBsmt-53,NBC-arch3_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
54,NBC-arch3_fullBsmt-54,NBC-arch3_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
55,NBC-arch3_fullBsmt-55,NBC-arch3_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
56,NBC-arch3_fullBsmt-56,NBC-arch3_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
57,NBC-arch4_fullBsmt-57,NBC-arch4_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
58,NBC-arch4_fullBsmt-58,NBC-arch4_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
59,NBC-arch4_fullBsmt-59,NBC-arch4_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
60,NBC-arch4_fullBsmt-60,NBC-arch4_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
61,NBC-arch5_fullBsmt-61,NBC-arch5_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
62,NBC-arch5_fullBsmt-62,NBC-arch5_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
63,NBC-arch5_fullBsmt-63,NBC-arch5_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
64,NBC-arch5_fullBsmt-64,NBC-arch5_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
65,NBC-arch6_fullBsmt-65,NBC-arch6_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
66,NBC-arch6_fullBsmt-66,NBC-arch6_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,elec-baseboard,NA
67,NBC-arch6_fullBsmt-67,NBC-arch6_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
68,NBC-arch6_fullBsmt-68,NBC-arch6_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
